date,close,adj close,dividends,stock splits
2018-11-01,3549.296875,3549.296875,0.0,0.0
2018-12-01,3256.927734375,3256.927734375,0.0,0.0
2019-01-01,3020.302490234375,3020.302490234375,0.0,0.0
2019-02-01,3389.312255859375,3389.312255859375,0.0,0.0
2019-03-01,3657.865966796875,3657.865966796875,0.0,0.0
2019-04-01,4771.25927734375,4771.25927734375,0.0,0.0
2019-05-01,7660.2880859375,7660.2880859375,0.0,0.0
2019-06-01,9520.8818359375,9520.8818359375,0.0,0.0
2019-07-01,9109.9541015625,9109.9541015625,0.0,0.0
2019-08-01,8746.5693359375,8746.5693359375,0.0,0.0
2019-09-01,7609.142578125,7609.142578125,0.0,0.0
2019-10-01,8245.560546875,8245.560546875,0.0,0.0
2019-11-01,6870.1435546875,6870.1435546875,0.0,0.0
2019-12-01,6411.46044921875,6411.46044921875,0.0,0.0
2020-01-01,8427.623046875,8427.623046875,0.0,0.0
2020-02-01,7798.02587890625,7798.02587890625,0.0,0.0
2020-03-01,5839.27783203125,5839.27783203125,0.0,0.0
2020-04-01,7911.7626953125,7911.7626953125,0.0,0.0
2020-05-01,8510.1376953125,8510.1376953125,0.0,0.0
2020-06-01,8133.865234375,8133.865234375,0.0,0.0
2020-07-01,9613.4306640625,9613.4306640625,0.0,0.0
2020-08-01,9785.0234375,9785.0234375,0.0,0.0
2020-09-01,9199.6455078125,9199.6455078125,0.0,0.0
2020-10-01,11801.3271484375,11801.3271484375,0.0,0.0
2020-11-01,16440.384765625,16440.384765625,0.0,0.0
2020-12-01,23741.736328125,23741.736328125,0.0,0.0
2021-01-01,27316.099609375,27316.099609375,0.0,0.0
2021-02-01,37332.50390625,37332.50390625,0.0,0.0
2021-03-01,50240.55859375,50240.55859375,0.0,0.0
2021-04-01,48047.05078125,48047.05078125,0.0,0.0
2021-05-01,30519.30859375,30519.30859375,0.0,0.0
2021-06-01,29555.0546875,29555.0546875,0.0,0.0
2021-07-01,35077.26953125,35077.26953125,0.0,0.0
2021-08-01,39937.78125,39937.78125,0.0,0.0
2021-09-01,37835.90234375,37835.90234375,0.0,0.0
2021-10-01,53060.58203125,53060.58203125,0.0,0.0
2021-11-01,50313.38671875,50313.38671875,0.0,0.0
2021-12-01,40712.71875,40712.71875,0.0,0.0
2022-01-01,34270.41796875,34270.41796875,0.0,0.0
2022-02-01,38516.01171875,38516.01171875,0.0,0.0
2022-03-01,41124.796875,41124.796875,0.0,0.0
2022-04-01,35770.0703125,35770.0703125,0.0,0.0
2022-05-01,29616.634765625,29616.634765625,0.0,0.0
2022-06-01,18881.3359375,18881.3359375,0.0,0.0
2022-07-01,22855.736328125,22855.736328125,0.0,0.0
2022-08-01,19973.794921875,19973.794921875,0.0,0.0
2022-09-01,19824.3125,19824.3125,0.0,0.0
2022-10-01,20732.3984375,20732.3984375,0.0,0.0
2022-11-01,16471.5390625,16471.5390625,0.0,0.0
2022-12-01,15426.75,15426.75,0.0,0.0
2023-01-01,21305.564453125,21305.564453125,0.0,0.0
2023-02-01,21885.3359375,21885.3359375,0.0,0.0
2023-03-01,26205.189453125,26205.189453125,0.0,0.0
2023-04-01,26581.580078125,26581.580078125,0.0,0.0
2023-05-01,25454.462890625,25454.462890625,0.0,0.0
2023-06-01,27918.685546875,27918.685546875,0.0,0.0
2023-07-01,26580.546875,26580.546875,0.0,0.0
2023-08-01,23916.75390625,23916.75390625,0.0,0.0
2023-09-01,25488.7265625,25488.7265625,0.0,0.0
2023-10-01,32773.70703125,32773.70703125,0.0,0.0
2023-11-01,34625.015625,34625.015625,0.0,0.0
2023-12-01,38291.8359375,38291.8359375,0.0,0.0
2024-01-01,39413.5234375,39413.5234375,0.0,0.0
2024-02-01,56633.83984375,56633.83984375,0.0,0.0
2024-03-01,66090.1953125,66090.1953125,0.0,0.0
2024-04-01,56849.66015625,56849.66015625,0.0,0.0
2024-05-01,62159.41796875,62159.41796875,0.0,0.0
2024-06-01,58385.76953125,58385.76953125,0.0,0.0
2024-07-01,59700.8203125,59700.8203125,0.0,0.0
2024-08-01,53315.74609375,53315.74609375,0.0,0.0
2024-09-01,56865.96484375,56865.96484375,0.0,0.0
2024-10-01,64512.30859375,64512.30859375,0.0,0.0
2024-11-01,91178.8828125,91178.8828125,0.0,0.0
2024-12-01,90269.890625,90269.890625,0.0,0.0
2025-01-01,98832.21875,98832.21875,0.0,0.0
2025-02-01,81297.6171875,81297.6171875,0.0,0.0
2025-03-01,76306.0703125,76306.0703125,0.0,0.0
2025-04-01,83206.0625,83206.0625,0.0,0.0
2025-05-01,92211.2734375,92211.2734375,0.0,0.0
2025-06-01,90897.3671875,90897.3671875,0.0,0.0
2025-07-01,101349.0859375,101349.0859375,0.0,0.0
2025-08-01,92587.1953125,92587.1953125,0.0,0.0
2025-09-01,97197.2265625,97197.2265625,0.0,0.0
2025-10-01,94452.75,94452.75,0.0,0.0
2025-11-01,77918.8984375,77918.8984375,0.0,0.0
2025-12-01,74586.5703125,74586.5703125,0.0,0.0
2026-01-01,66326.03125,66326.03125,0.0,0.0
2026-02-01,56689.6875,56689.6875,0.0,0.0
2026-03-01,58955.76953125,58955.76953125,0.0,0.0
2026-04-01,65056.984375,65056.984375,0.0,0.0
2026-05-01,66692.0078125,66692.0078125,0.0,0.0
